Timestamp, P1rms (A), P2rms (A), P3rms (A), P4rms (A), P5rms (A), Vrms (V), P1 theta, P2 theta, P3 theta, P4 theta, P5 theta
Mon Sep 30 00:00:03 2013, 46, 83, 353, 361, 379, 42, 8, 8, 0, 0, 30
Mon Sep 30 00:00:04 2013, 112, 113, 260, 240, 253, 42, 8, 8, 0, 0, 62
Mon Sep 30 00:00:05 2013, 108, 109, 291, 274, 299, 42, 8, 8, 0, 0, 10
Mon Sep 30 00:00:06 2013, 27, 28, 387, 369, 379, 42, 8, 8, 0, 0, 30
Mon Sep 30 00:00:07 2013, 51, 52, 390, 371, 381, 42, 8, 8, 0, 0, 30
Mon Sep 30 00:00:08 2013, 53, 53, 390, 370, 380, 42, 8, 8, 0, 0, 30
Mon Sep 30 00:00:09 2013, 59, 94, 329, 346, 368, 42, 8, 9, 0, 0, 28
Mon Sep 30 00:00:10 2013, 116, 116, 241, 219, 228, 42, 8, 8, 0, 38, 56
Mon Sep 30 00:00:11 2013, 115, 116, 235, 217, 238, 42, 8, 8, 0, 0, 58
Mon Sep 30 00:00:12 2013, 28, 32, 406, 397, 409, 42, 8, 8, 0, 0, 38
Mon Sep 30 00:00:13 2013, 55, 55, 385, 367, 378, 42, 8, 8, 0, 0, 30
Mon Sep 30 00:00:14 2013, 66, 92, 316, 337, 360, 42, 8, 8, 0, 0, 26
Mon Sep 30 00:00:15 2013, 120, 119, 225, 209, 222, 42, 8, 8, 0, 39, 54
Mon Sep 30 00:00:16 2013, 118, 119, 225, 209, 226, 42, 8, 8, 0, 39, 56
Mon Sep 30 00:00:17 2013, 59, 59, 383, 364, 373, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:18 2013, 57, 57, 385, 366, 375, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:19 2013, 51, 51, 391, 371, 380, 42, 11, 11, 0, 0, 30
Mon Sep 30 00:00:20 2013, 54, 74, 343, 350, 375, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:21 2013, 113, 115, 238, 220, 227, 42, 8, 8, 0, 0, 56
Mon Sep 30 00:00:22 2013, 116, 117, 237, 218, 236, 42, 8, 8, 0, 0, 58
Mon Sep 30 00:00:23 2013, 47, 47, 399, 375, 385, 42, 8, 8, 0, 0, 32
Mon Sep 30 00:00:24 2013, 47, 46, 400, 377, 392, 42, 8, 8, 0, 0, 34
Mon Sep 30 00:00:25 2013, 52, 60, 368, 368, 383, 42, 8, 8, 0, 0, 30
Mon Sep 30 00:00:26 2013, 115, 116, 253, 234, 242, 42, 8, 8, 0, 0, 60
Mon Sep 30 00:00:27 2013, 115, 115, 249, 231, 252, 42, 8, 8, 0, 0, 62
Mon Sep 30 00:00:28 2013, 41, 40, 404, 385, 393, 42, 8, 8, 0, 0, 34
Mon Sep 30 00:00:29 2013, 40, 40, 406, 384, 395, 42, 8, 8, 0, 0, 34
Mon Sep 30 00:00:30 2013, 43, 43, 404, 386, 395, 42, 8, 8, 0, 0, 34
Mon Sep 30 00:00:31 2013, 47, 81, 367, 371, 388, 42, 8, 8, 0, 0, 32
Mon Sep 30 00:00:32 2013, 114, 113, 259, 241, 250, 42, 8, 8, 0, 0, 62
Mon Sep 30 00:00:33 2013, 50, 50, 396, 377, 386, 42, 8, 8, 0, 0, 32
Mon Sep 30 00:00:34 2013, 52, 52, 396, 375, 386, 42, 8, 8, 0, 0, 32
Mon Sep 30 00:00:35 2013, 117, 120, 211, 204, 219, 42, 5, 5, 36, 37, 54
Mon Sep 30 00:00:36 2013, 117, 118, 233, 220, 230, 42, 8, 8, 0, 0, 56
Mon Sep 30 00:00:37 2013, 42, 41, 400, 385, 381, 42, 8, 8, 0, 0, 30
Mon Sep 30 00:00:38 2013, 51, 46, 272, 236, 241, 42, 8, 8, 0, 0, 60
Mon Sep 30 00:00:39 2013, 41, 38, 398, 390, 403, 42, 8, 8, 0, 0, 36
Mon Sep 30 00:00:40 2013, 47, 42, 311, 267, 256, 42, 20, 20, 0, 0, 0
Mon Sep 30 00:00:41 2013, 49, 41, 330, 272, 266, 42, 22, 22, 0, 0, 2
Mon Sep 30 00:00:42 2013, 85, 53, 367, 293, 273, 42, 8, 8, 0, 0, 4
Mon Sep 30 00:00:43 2013, 74, 108, 317, 361, 381, 42, 9, 8, 0, 0, 30
Mon Sep 30 00:00:00 2013, 68, 107, 251, 304, 351, 42, 8, 8, 0, 0, 22
Mon Sep 30 00:00:01 2013, 32, 64, 269, 291, 371, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:02 2013, 34, 43, 282, 279, 362, 42, 8, 8, 0, 0, 26
Mon Sep 30 00:00:03 2013, 34, 32, 284, 268, 333, 42, 8, 8, 0, 0, 18
Mon Sep 30 00:00:04 2013, 35, 35, 280, 263, 285, 42, 8, 8, 0, 0, 6
Mon Sep 30 00:00:05 2013, 35, 33, 281, 263, 273, 42, 8, 8, 0, 0, 4
Mon Sep 30 00:00:06 2013, 37, 35, 279, 262, 280, 42, 8, 8, 0, 0, 6
Mon Sep 30 00:00:07 2013, 41, 37, 273, 255, 265, 42, 8, 7, 0, 0, 2
Mon Sep 30 00:00:08 2013, 34, 28, 306, 274, 272, 42, 4, 4, 0, 0, 4
Mon Sep 30 00:00:09 2013, 30, 30, 310, 277, 289, 42, 8, 9, 0, 0, 8
Mon Sep 30 00:00:10 2013, 35, 31, 426, 402, 411, 42, 8, 8, 0, 0, 38
Mon Sep 30 00:00:11 2013, 107, 109, 398, 388, 402, 42, 8, 8, 0, 0, 36
Mon Sep 30 00:00:12 2013, 42, 30, 344, 311, 308, 42, 8, 8, 0, 0, 12
Mon Sep 30 00:00:13 2013, 63, 45, 341, 287, 282, 42, 8, 8, 0, 0, 6
Mon Sep 30 00:00:14 2013, 75, 49, 368, 304, 293, 42, 8, 8, 0, 0, 8
Mon Sep 30 00:00:15 2013, 95, 58, 396, 304, 289, 42, 8, 8, 0, 0, 8
Mon Sep 30 00:00:16 2013, 96, 57, 423, 366, 340, 42, 8, 8, 0, 0, 20
Mon Sep 30 00:00:17 2013, 104, 75, 399, 330, 267, 42, 9, 8, 0, 0, 2
Mon Sep 30 00:00:18 2013, 44, 42, 408, 387, 398, 42, 8, 8, 0, 0, 34
Mon Sep 30 00:00:19 2013, 49, 49, 402, 380, 388, 42, 8, 8, 0, 0, 32
Mon Sep 30 00:00:20 2013, 85, 83, 357, 344, 358, 42, 8, 8, 0, 0, 24
Mon Sep 30 00:00:21 2013, 64, 88, 329, 346, 369, 42, 8, 9, 0, 0, 28
Mon Sep 30 00:00:22 2013, 113, 114, 246, 225, 238, 42, 8, 8, 0, 0, 58
Mon Sep 30 00:00:23 2013, 111, 114, 251, 228, 243, 42, 8, 8, 0, 0, 60
Mon Sep 30 00:00:24 2013, 54, 54, 391, 369, 377, 42, 8, 8, 0, 0, 30
Mon Sep 30 00:00:25 2013, 62, 62, 387, 367, 375, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:26 2013, 59, 58, 391, 371, 379, 42, 6, 6, 0, 0, 30
Mon Sep 30 00:00:27 2013, 63, 78, 341, 336, 366, 42, 8, 8, 0, 0, 26
Mon Sep 30 00:00:28 2013, 112, 113, 253, 233, 236, 42, 8, 8, 0, 0, 58
Mon Sep 30 00:00:29 2013, 59, 60, 384, 362, 369, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:30 2013, 65, 66, 383, 363, 370, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:31 2013, 113, 113, 228, 210, 224, 42, 8, 8, 0, 39, 56
Mon Sep 30 00:00:32 2013, 116, 108, 289, 209, 213, 42, 8, 8, 0, 42, 53
Mon Sep 30 00:00:33 2013, 50, 94, 248, 295, 363, 42, 8, 9, 0, 0, 26
Mon Sep 30 00:00:34 2013, 72, 109, 251, 251, 345, 42, 12, 13, 0, 0, 22
Mon Sep 30 00:00:35 2013, 114, 112, 392, 370, 318, 42, 8, 8, 0, 0, 14
Mon Sep 30 00:00:36 2013, 116, 117, 390, 370, 347, 42, 8, 8, 0, 0, 22
Mon Sep 30 00:00:37 2013, 117, 118, 387, 368, 371, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:38 2013, 119, 121, 388, 370, 379, 42, 1, 33, 0, 0, 30
Mon Sep 30 00:00:39 2013, 116, 118, 380, 362, 371, 42, 8, 8, 0, 0, 28
